lead_origin,lead_source,do_not_email,do_not_call,total_visits,total_time_on_website,page_views_per_visit,last_activity,country,specialization,occupation,course_selection_priority,search,magazine,newspaper_article,x_education_forums,newspaper,digital_advertisement,through_recommendations,receive_course_updates,tags,lead_quality,supply_chain_updates,dm_content_updates,lead_profile,city,asym_activity_index,asym_profile_index,asym_activity_score,asym_profile_score,agreed_to_pay_cheque,free_interview_guide,last_notable_activity,lead_source_was_missing,total_visits_was_missing,specialization_was_missing,occupation_was_missing,city_was_missing,heard_about_source_was_missing,asym_data_missing,conversion_probability,rank,priority_tier,true_label
API,Olark Chat,0,0,0,0,0.0,SMS Sent,,Operations Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.9172389799316836,228,Hot,1
API,Google,0,0,3,970,3.0,SMS Sent,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,2,2,15.0,16.0,0,0,Modified,0,0,0,0,1,1,0,0.9167204705773115,229,Hot,1
Landing Page Submission,Google,0,0,4,1370,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,,0,0,Select,Other Cities,2,2,15.0,16.0,0,0,Email Opened,0,0,0,0,0,0,0,0.9154635032250319,230,Hot,0
API,Olark Chat,0,0,0,0,0.0,SMS Sent,,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,2,2,15.0,16.0,0,0,SMS Sent,0,0,0,0,0,1,0,0.9145515037143841,231,Hot,1
API,Olark Chat,0,0,0,0,0.0,Email Opened,,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,High in Relevance,0,0,Select,Mumbai,2,2,15.0,16.0,0,0,Modified,0,0,0,0,0,1,0,0.9145515037143841,232,Hot,1
Landing Page Submission,Direct Traffic,0,0,5,1656,5.0,SMS Sent,India,Media and Advertising,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Potential Lead,Mumbai,2,3,14.0,19.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.9141850034845298,233,Hot,1
Lead Add Form,Reference,1,0,,1216,,Email Bounced,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Select,,,,,,0,0,Modified,0,1,1,0,1,1,1,0.9140994492037107,234,Hot,1
Landing Page Submission,Google,0,0,4,1381,4.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,Not Sure,0,0,Select,Mumbai,2,3,15.0,18.0,0,1,Email Opened,0,0,0,0,0,1,0,0.9132792681112725,235,Hot,1
Landing Page Submission,Google,0,0,10,825,5.0,SMS Sent,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,3,3,16.0,18.0,0,0,SMS Sent,0,0,0,0,0,0,0,0.9129475997329387,236,Hot,1
Landing Page Submission,Google,0,0,4,984,2.0,SMS Sent,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,2,3,15.0,18.0,0,0,SMS Sent,0,0,0,0,0,0,0,0.912519105998388,237,Hot,1
Landing Page Submission,Google,0,0,3,781,3.0,Olark Chat Conversation,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,Mumbai,3,3,16.0,18.0,0,0,Modified,0,0,0,0,0,0,0,0.9124579614163773,238,Hot,1
Landing Page Submission,Direct Traffic,0,0,2,940,2.0,SMS Sent,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,Mumbai,2,3,15.0,20.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.9122889214480913,239,Hot,1
Landing Page Submission,Google,0,0,6,1104,6.0,SMS Sent,India,IT Projects Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,Mumbai,2,2,15.0,15.0,0,1,SMS Sent,0,0,0,0,0,0,0,0.9109158033439599,240,Hot,1
Landing Page Submission,Organic Search,0,0,4,1390,4.0,Email Opened,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Potential Lead,Mumbai,2,3,14.0,20.0,0,1,Email Opened,0,0,0,0,0,1,0,0.9106196584677491,241,Hot,1
Landing Page Submission,Google,0,0,12,1248,2.4,SMS Sent,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,switched off,Not Sure,0,0,Other Leads,Mumbai,3,3,16.0,18.0,0,1,Modified,0,0,0,0,0,0,0,0.9103604302650932,242,Hot,1
Landing Page Submission,Google,0,0,7,938,7.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,opp hangup,Not Sure,0,0,Other Leads,Mumbai,2,3,15.0,18.0,0,0,Modified,0,0,0,0,0,0,0,0.9101470338890467,243,Hot,1
Landing Page Submission,Organic Search,0,0,5,1223,5.0,Approached upfront,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,High in Relevance,0,0,Select,Thane & Outskirts,3,3,16.0,17.0,0,1,Modified,0,0,0,0,0,1,0,0.9089541995228392,244,Hot,1
Landing Page Submission,Google,0,0,11,1858,2.2,Olark Chat Conversation,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,Thane & Outskirts,3,3,17.0,17.0,0,0,Olark Chat Conversation,0,0,0,0,0,0,0,0.9089157288627231,245,Hot,1
Landing Page Submission,Organic Search,0,0,5,1722,5.0,SMS Sent,India,Business Administration,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,2,3,13.0,17.0,0,0,SMS Sent,0,0,0,0,1,1,0,0.9083584995894236,246,Hot,1
API,Olark Chat,0,0,7,1516,3.5,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,Other Cities,2,2,15.0,16.0,0,0,Email Opened,0,0,0,0,0,0,0,0.9077212911678403,247,Hot,1
API,Google,0,0,4,1245,2.0,SMS Sent,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,Not Sure,0,0,Potential Lead,,2,2,15.0,16.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.9062529929670182,248,Hot,1
API,Google,0,0,7,859,1.75,SMS Sent,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,switched off,Not Sure,0,0,Select,,2,2,15.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.9057288102046661,249,Hot,0
Landing Page Submission,Organic Search,0,0,10,1250,10.0,SMS Sent,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,Not Sure,0,0,Select,Other Cities of Maharashtra,3,3,16.0,17.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.9055751074645253,250,Hot,1
Landing Page Submission,Organic Search,0,0,14,1747,1.27,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,,0,0,Select,Mumbai,2,3,15.0,18.0,0,1,Email Opened,0,0,0,0,0,1,0,0.9049687383814536,251,Hot,0
Landing Page Submission,Organic Search,0,0,4,1121,4.0,SMS Sent,India,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,3,15.0,17.0,0,0,SMS Sent,0,0,0,0,1,1,0,0.9049564219737564,252,Hot,1
Landing Page Submission,Organic Search,0,0,13,954,4.33,Olark Chat Conversation,India,Media and Advertising,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,Not Sure,0,0,Select,Mumbai,3,3,16.0,17.0,0,1,Modified,0,0,0,0,0,1,0,0.9047974265027106,253,Hot,1
API,Google,0,0,13,1667,4.33,SMS Sent,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,3,2,16.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.9047744504522259,254,Hot,1
Landing Page Submission,Direct Traffic,0,0,1,1463,1.0,Converted to Lead,India,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Lost to EINS,Might be,0,0,Potential Lead,Other Cities of Maharashtra,2,3,15.0,19.0,0,1,Modified,0,0,0,0,0,1,0,0.9034960587153562,255,Hot,1
API,Olark Chat,0,0,6,781,2.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Mumbai,2,3,15.0,18.0,0,1,Email Opened,0,0,0,0,0,1,0,0.9024171543829149,256,Hot,1
API,Google,0,0,3,1213,1.5,Email Opened,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,2,15.0,15.0,0,0,Email Opened,0,0,1,0,1,1,0,0.9020061708194911,257,Hot,1
Landing Page Submission,Google,0,0,20,1290,2.22,Page Visited on Website,India,IT Projects Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,3,2,16.0,15.0,0,0,Page Visited on Website,0,0,0,0,0,0,0,0.9019618417264511,258,Hot,1
Landing Page Submission,Direct Traffic,0,0,5,1591,5.0,SMS Sent,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Potential Lead,Mumbai,2,3,14.0,20.0,0,0,SMS Sent,0,0,0,0,0,1,0,0.901239928308505,259,Hot,1
Landing Page Submission,Organic Search,0,0,6,1243,6.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,3,3,16.0,18.0,0,1,Email Opened,0,0,0,0,0,1,0,0.9008694466766144,260,Hot,0
Landing Page Submission,Direct Traffic,0,0,8,1495,4.0,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,,0,0,Select,Mumbai,2,3,15.0,18.0,0,1,Modified,0,0,0,0,0,1,0,0.9005626438209613,261,Hot,1
API,Google,0,0,2,1069,2.0,Email Opened,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,2,2,15.0,15.0,0,0,Email Opened,0,0,0,0,1,1,0,0.9004248907560678,262,Hot,1
API,Olark Chat,0,0,0,0,0.0,Olark Chat Conversation,,Marketing Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,Not Sure,0,0,Other Leads,,,,,,0,0,Modified,0,0,0,0,1,1,1,0.899755155580914,263,Hot,0
Landing Page Submission,Direct Traffic,0,0,4,812,4.0,SMS Sent,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Other Cities of Maharashtra,3,3,16.0,17.0,0,1,SMS Sent,0,0,0,0,0,0,0,0.8992060749407955,264,Hot,1
Landing Page Submission,Organic Search,0,0,9,986,9.0,SMS Sent,India,Media and Advertising,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,2,3,15.0,17.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.8990139522915996,265,Hot,1
API,Olark Chat,0,0,0,0,0.0,Email Opened,,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,Thane & Outskirts,,,,,0,0,Email Opened,0,0,0,0,0,1,1,0.8988502675789183,266,Hot,1
API,Organic Search,0,0,5,1841,5.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,,0,0,Select,,2,2,15.0,15.0,0,0,Modified,0,0,1,0,1,1,0,0.8988105045695403,267,Hot,0
API,Olark Chat,0,0,0,0,0.0,SMS Sent,,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Potential Lead,Mumbai,,,,,0,0,SMS Sent,0,0,0,0,0,1,1,0.8985133466060259,268,Hot,1
API,Olark Chat,0,0,3,1228,1.5,SMS Sent,India,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,Not Sure,0,0,Potential Lead,Mumbai,2,3,15.0,18.0,0,1,Modified,0,0,0,0,0,1,0,0.8984144919770403,269,Hot,1
Landing Page Submission,Google,0,0,3,1218,3.0,Form Submitted on Website,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,High in Relevance,0,0,Select,Tier II Cities,2,3,13.0,17.0,0,0,Modified,0,0,0,0,0,0,0,0.8975700262404274,270,Hot,0
Landing Page Submission,Organic Search,0,0,8,898,4.0,SMS Sent,India,Travel and Tourism,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,Not Sure,0,0,Select,Mumbai,2,2,15.0,16.0,0,1,Modified,0,0,0,0,0,1,0,0.8974728292616649,271,Hot,1
API,Google,0,0,6,1411,1.5,Email Opened,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Mumbai,2,3,15.0,18.0,0,0,Email Opened,0,0,0,0,0,0,0,0.8974083011883294,272,Hot,1
API,Organic Search,0,0,4,1341,2.0,Email Opened,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,Worst,0,0,Select,,2,2,15.0,15.0,0,0,Email Opened,0,0,1,0,1,1,0,0.8966744337706468,273,Hot,1
API,Organic Search,0,0,4,1338,2.0,Email Opened,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Not Sure,0,0,Select,,2,2,15.0,15.0,0,0,Email Opened,0,0,1,0,1,1,0,0.8966744337706468,274,Hot,1
API,Google,0,0,2,1576,2.0,SMS Sent,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,3,2,16.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.8963405722936025,275,Hot,1
Landing Page Submission,Direct Traffic,0,0,14,1135,2.33,Page Visited on Website,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,Might be,0,0,Select,Other Cities of Maharashtra,2,3,15.0,17.0,0,0,Modified,0,0,0,0,0,0,0,0.8954736000111099,276,Hot,1
Landing Page Submission,Direct Traffic,0,0,3,491,3.0,Email Opened,India,E-Business,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,Low in Relevance,0,0,Potential Lead,Mumbai,2,3,14.0,20.0,0,1,Modified,0,0,0,0,0,1,0,0.8951150679333852,277,Hot,0
Landing Page Submission,Direct Traffic,0,0,3,1010,3.0,Email Opened,India,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Other Metro Cities,2,2,15.0,16.0,0,1,Email Opened,0,0,0,0,0,1,0,0.8945274289333808,278,Hot,1
Landing Page Submission,Direct Traffic,0,0,3,1049,3.0,Unreachable,Oman,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Closed by Horizzon,,0,0,Potential Lead,Other Cities,2,3,15.0,18.0,0,1,Modified,0,0,0,0,0,1,0,0.8945274289333808,279,Hot,1
Landing Page Submission,Direct Traffic,0,0,3,1826,3.0,SMS Sent,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,2,3,15.0,17.0,0,0,SMS Sent,0,0,0,0,1,1,0,0.8944164349852358,280,Hot,1
API,Olark Chat,0,0,0,0,0.0,SMS Sent,,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Potential Lead,Mumbai,,,,,0,0,SMS Sent,0,0,0,0,0,1,1,0.8942418237586559,281,Hot,1
Lead Add Form,Click2call,0,0,15,1108,3.0,Email Opened,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,Thane & Outskirts,2,3,15.0,17.0,0,0,Email Opened,0,0,0,0,0,0,0,0.8941401028196471,282,Hot,1
Landing Page Submission,Direct Traffic,0,0,14,1047,1.4,Page Visited on Website,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Already a student,Worst,0,0,Select,Mumbai,3,3,16.0,18.0,0,1,Page Visited on Website,0,0,0,0,0,1,0,0.8939567416692621,283,Hot,0
API,Google,0,0,2,1122,2.0,SMS Sent,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,2,15.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.8925244105492854,284,Hot,1
Landing Page Submission,Direct Traffic,0,0,11,1505,3.67,SMS Sent,India,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Thane & Outskirts,3,3,17.0,17.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.8913578635730426,285,Hot,1
API,Google,0,0,2,1099,2.0,Page Visited on Website,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,switched off,,0,0,Select,,2,2,15.0,15.0,0,0,Modified,0,0,1,0,1,1,0,0.8913180568478921,286,Hot,0
API,Google,0,0,2,1105,2.0,SMS Sent,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,Not Sure,0,0,Select,,2,2,15.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.8913180568478921,287,Hot,1
Landing Page Submission,Organic Search,0,0,5,1016,2.5,Email Opened,India,E-Business,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Other Metro Cities,2,2,15.0,16.0,0,1,Email Opened,0,0,0,0,0,1,0,0.8911651091661924,288,Hot,1
API,Organic Search,0,0,9,1125,9.0,Email Opened,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,2,2,15.0,15.0,0,0,Email Opened,0,0,1,0,1,1,0,0.8909432840658313,289,Hot,1
API,Google,0,0,2,915,2.0,Email Opened,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,2,15.0,15.0,0,0,Email Opened,0,0,1,0,1,1,0,0.8908475069106517,290,Hot,1
API,Google,0,0,2,1020,1.0,SMS Sent,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,3,2,16.0,15.0,0,0,SMS Sent,0,0,1,0,1,1,0,0.8906810529988709,291,Hot,1
API,Google,0,0,13,1725,3.25,Email Opened,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,,2,2,15.0,15.0,0,0,Email Opened,0,0,1,0,1,1,0,0.8905014505556156,292,Hot,1
Landing Page Submission,Direct Traffic,0,0,8,1677,2.0,Page Visited on Website,India,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Ringing,Not Sure,0,0,Select,Thane & Outskirts,2,3,15.0,17.0,0,1,Modified,0,0,0,0,0,1,0,0.8903650674157589,293,Hot,0
API,Olark Chat,0,0,0,0,0.0,Email Opened,,"Banking, Investment And Insurance",Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Select,Other Cities,2,2,15.0,14.0,0,0,Email Opened,0,0,0,0,0,1,0,0.8901410288632673,294,Hot,1
Landing Page Submission,Direct Traffic,0,0,24,1500,2.0,Page Visited on Website,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,3,3,16.0,18.0,0,0,Page Visited on Website,0,0,0,0,0,0,0,0.8900781415815058,295,Hot,1
Landing Page Submission,Organic Search,0,0,9,1005,9.0,Email Opened,India,,Unemployed,Better Career Prospects,0,0,1,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,2,3,15.0,17.0,0,0,Modified,0,0,1,0,1,1,0,0.8892373842465825,296,Hot,1
API,Direct Traffic,0,0,6,1040,6.0,SMS Sent,India,Marketing Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,,2,2,15.0,16.0,0,0,Modified,0,0,0,0,1,1,0,0.8886545671779412,297,Hot,1
Landing Page Submission,Direct Traffic,0,0,2,783,2.0,Email Opened,India,Business Administration,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Interested in other courses,Worst,0,0,Potential Lead,Thane & Outskirts,2,3,14.0,19.0,0,1,Email Opened,0,0,0,0,0,1,0,0.88860642881556,298,Hot,0
Landing Page Submission,Organic Search,0,0,16,1297,1.78,Email Opened,India,Operations Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,Thane & Outskirts,3,3,16.0,17.0,0,0,Email Opened,0,0,0,0,0,0,0,0.8882029496073022,299,Hot,1
Lead Add Form,Click2call,0,0,0,0,0.0,Email Opened,,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Mumbai,,,,,0,0,Email Opened,0,0,0,0,0,1,1,0.8879480106593294,300,Hot,1
Landing Page Submission,Direct Traffic,0,0,2,813,2.0,Email Opened,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Other Cities of Maharashtra,2,3,14.0,19.0,0,1,Email Opened,0,0,0,0,0,1,0,0.8874703602406065,301,Hot,1
API,Google,0,0,3,739,3.0,Email Opened,India,Business Administration,Student,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Mumbai,2,3,15.0,18.0,0,0,Email Opened,0,0,0,0,0,0,0,0.8868886176755421,302,Hot,1
Landing Page Submission,Google,0,0,3,1459,3.0,SMS Sent,India,Finance Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,Mumbai,2,3,15.0,18.0,0,0,SMS Sent,0,0,0,0,0,0,0,0.8866601435081569,303,Hot,1
Landing Page Submission,Organic Search,0,0,6,1713,6.0,SMS Sent,Hong Kong,International Business,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Potential Lead,Mumbai,2,3,14.0,20.0,0,1,SMS Sent,0,0,0,0,0,1,0,0.8857171512426305,304,Hot,1
Landing Page Submission,Direct Traffic,0,0,3,1353,3.0,Email Opened,India,Healthcare Management,Student,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Potential Lead,Mumbai,2,3,15.0,17.0,0,1,Modified,0,0,0,0,0,1,0,0.8848955136080214,305,Hot,1
Landing Page Submission,Organic Search,0,0,3,1746,3.0,Page Visited on Website,India,Rural and Agribusiness,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Busy,Not Sure,0,0,Select,Other Cities,3,2,16.0,13.0,0,1,Modified,0,0,0,0,0,1,0,0.8845253533125169,306,Hot,1
API,Google,0,0,1,397,1.0,Converted to Lead,India,Human Resource Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Interested  in full time MBA,Might be,0,0,Potential Lead,,,,,,0,0,Modified,0,0,0,0,1,1,1,0.884250225583276,307,Hot,0
Lead Add Form,Reference,0,0,0,0,0.0,Email Opened,,Healthcare Management,Student,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Low in Relevance,0,0,Other Leads,Other Cities,2,2,14.0,13.0,0,0,Email Opened,0,0,0,0,0,1,0,0.8836214482861816,308,Hot,1
Landing Page Submission,Direct Traffic,0,0,9,1164,4.5,Email Opened,India,Healthcare Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,3,2,16.0,15.0,0,1,Email Opened,0,0,0,0,0,1,0,0.8814702041570466,309,Hot,1
Lead Import,Facebook,0,0,0,0,0.0,SMS Sent,,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,2,2,15.0,15.0,0,0,Modified,0,0,0,0,0,1,0,0.881299449914461,310,Hot,1
Lead Add Form,Click2call,0,0,0,0,0.0,Email Opened,,Human Resource Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Want to take admission but has financial problems,High in Relevance,0,0,Potential Lead,Mumbai,2,3,14.0,19.0,0,0,Modified,0,0,0,0,0,1,0,0.8807531888276224,311,Hot,0
Landing Page Submission,Organic Search,0,0,9,1233,4.5,Email Opened,,IT Projects Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,,,0,0,Select,Other Cities,2,2,15.0,13.0,0,1,Email Opened,0,0,0,0,0,1,0,0.8807259456716477,312,Hot,1
API,Olark Chat,0,0,4,936,4.0,Email Opened,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Not Sure,0,0,Select,,2,2,15.0,15.0,0,0,Email Opened,0,0,1,0,1,1,0,0.8778319395111032,313,Hot,1
API,Google,0,0,5,1577,5.0,Olark Chat Conversation,India,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,,2,2,15.0,15.0,0,0,Modified,0,0,1,0,1,1,0,0.8761719017352718,314,Hot,1
API,Olark Chat,0,0,0,0,0.0,SMS Sent,,Supply Chain Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Dual Specialization Student,,,,,,0,0,SMS Sent,0,0,0,0,1,1,1,0.8759302523535627,315,Hot,1
Lead Add Form,,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Select,,,,,,0,0,SMS Sent,1,0,1,0,1,1,1,0.8739275336198543,316,Hot,1
Lead Add Form,,0,0,0,0,0.0,SMS Sent,,,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,High in Relevance,0,0,Select,,,,,,0,0,SMS Sent,1,0,1,0,1,1,1,0.8739275336198543,317,Hot,1
Landing Page Submission,Direct Traffic,0,0,2,834,2.0,SMS Sent,India,Supply Chain Management,Unemployed,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Potential Lead,Other Cities of Maharashtra,2,3,14.0,19.0,0,1,Modified,0,0,0,0,0,1,0,0.8727490749002569,318,Hot,1
Landing Page Submission,Google,0,0,5,1464,5.0,Email Opened,India,IT Projects Management,Working Professional,Better Career Prospects,0,0,0,0,0,0,0,0,Will revert after reading the email,Might be,0,0,Select,Mumbai,2,2,13.0,15.0,0,0,Email Opened,0,0,0,0,0,0,0,0.8718193369823117,319,Hot,1
